Test ID,Drop Point,Result
507,0.126,NULL
508,0.144,NULL
509,0.162,-2.99487
510,0.18,6.00373
511,0.198,3.00482
512,0.216001,NULL
513,0.234,0.000309666
514,0.252,NULL
515,0.27,3.00824
516,0.287999,3.00182
517,0.306001,NULL
518,0.324,6.00059
519,0.342,NULL
520,0.36,NULL
521,0.378,-3.00808
522,0.396,-3.00035
523,0.414,NULL
524,0.432,NULL
525,0.45,-0.000428231
526,0.468,NULL
527,0.486,0.00291967
528,0.504,NULL
529,0.521999,NULL
530,0.539999,-0.00366167
531,0.558001,NULL
532,0.576,0.000454261
533,0.594,2.99836
534,0.612,3.00228
535,0.63,NULL
536,0.648001,NULL
537,0.666,NULL
538,0.684,NULL
539,0.702,NULL
540,0.72,0.000233773
541,0.738,NULL
542,0.756,-0.000261483
543,0.774,NULL
544,0.792001,NULL
545,0.81,NULL
546,0.828,NULL
547,0.846,NULL
548,0.863999,NULL
549,0.882,NULL
550,0.900001,NULL
551,0.918,NULL
552,0.936,NULL
553,0.954,NULL
554,0.972,2.99997
555,0.99,NULL
556,1.008,NULL
557,1.026,NULL
558,1.044,NULL
559,1.062,NULL
560,1.08,NULL
561,1.098,NULL
562,1.116,2.99924
563,1.134,NULL
564,1.152,NULL
565,1.17,NULL
566,1.188,NULL
567,1.206,NULL
568,1.224,NULL
569,1.242,NULL
570,1.26,NULL
571,1.278,2.99905
572,1.296,NULL
573,1.314,-0.00812032
574,1.332,NULL
575,1.35,NULL
576,1.368,NULL
577,1.386,NULL
578,1.404,5.99783
579,1.422,NULL
580,1.44,NULL
581,1.458,NULL
582,1.476,-3.00359
583,1.494,-3.00341
584,1.512,3.00174
585,1.53,2.99778
586,1.548,NULL
587,1.566,NULL
588,1.584,NULL
589,1.602,-3.00631
590,1.62,-0.000153713
591,1.638,NULL
592,1.656,NULL
593,1.674,2.9996
594,1.692,NULL
595,1.71,NULL
596,1.728,NULL
597,1.746,NULL
598,1.764,NULL
599,1.782,NULL
600,1.8,NULL
601,1.818,0.0013599
602,1.836,NULL
603,1.854,-0.000561399
604,1.872,0.00654248
605,1.89,NULL
606,1.908,NULL
607,1.926,2.99471
608,1.944,NULL
609,1.962,-0.00117922
610,1.98,NULL
611,1.998,NULL
612,2.016,-0.00274099
613,2.034,3.00817
614,2.052,NULL
615,2.07,NULL
616,2.088,NULL
617,2.106,NULL
618,2.124,0.000298561
619,2.142,NULL
620,2.16,0.0014079
621,2.178,NULL
622,2.196,-3.00161
623,2.214,NULL
624,2.232,NULL
625,2.25,NULL
626,2.268,-2.99955
627,2.286,6.00014
628,2.304,NULL
629,2.322,2.9913
630,2.34,NULL
631,2.358,NULL
632,2.376,NULL
633,2.394,NULL
634,2.412,-0.00393521
635,2.43,NULL
636,2.448,NULL
637,2.466,NULL
638,2.484,2.99987
639,2.502,NULL
640,2.52,NULL
641,2.538,5.9955
642,2.556,NULL
643,2.574,NULL
644,2.592,NULL
645,2.61,2.99612
646,2.628,-0.00650569
647,2.646,3
648,2.664,NULL
649,2.682,NULL
650,2.7,NULL
651,2.718,6.00302
652,2.736,0.00716715
653,2.754,NULL
654,2.772,NULL
655,2.79,NULL
656,2.808,NULL
